ssyk96_4,year,daioe_allapps,daioe_stratgames,daioe_videogames,daioe_imgrec,daioe_imgcompr,daioe_imggen,daioe_readcompr,daioe_lngmod,daioe_translat,daioe_speechrec,daioe_genai,pctl_rank_allapps,pctl_rank_stratgames,pctl_rank_videogames,pctl_rank_imgrec,pctl_rank_imgcompr,pctl_rank_imggen,pctl_rank_readcompr,pctl_rank_lngmod,pctl_rank_translat,pctl_rank_speechrec,pctl_rank_genai,ssyk96_1,ssyk96_2,ssyk96_3
0110 Armed forces,2010,,,,,,,,,,,,,,,,,,,,,,,0 Armed forces,01 Armed forces,011 Armed forces
0110 Armed forces,2011,,,,,,,,,,,,,,,,,,,,,,,0 Armed forces,01 Armed forces,011 Armed forces
0110 Armed forces,2012,,,,,,,,,,,,,,,,,,,,,,,0 Armed forces,01 Armed forces,011 Armed forces
0110 Armed forces,2013,,,,,,,,,,,,,,,,,,,,,,,0 Armed forces,01 Armed forces,011 Armed forces
0110 Armed forces,2014,,,,,,,,,,,,,,,,,,,,,,,0 Armed forces,01 Armed forces,011 Armed forces
0110 Armed forces,2015,,,,,,,,,,,,,,,,,,,,,,,0 Armed forces,01 Armed forces,011 Armed forces
0110 Armed forces,2016,,,,,,,,,,,,,,,,,,,,,,,0 Armed forces,01 Armed forces,011 Armed forces
0110 Armed forces,2017,,,,,,,,,,,,,,,,,,,,,,,0 Armed forces,01 Armed forces,011 Armed forces
0110 Armed forces,2018,,,,,,,,,,,,,,,,,,,,,,,0 Armed forces,01 Armed forces,011 Armed forces
0110 Armed forces,2019,,,,,,,,,,,,,,,,,,,,,,,0 Armed forces,01 Armed forces,011 Armed forces
0110 Armed forces,2020,,,,,,,,,,,,,,,,,,,,,,,0 Armed forces,01 Armed forces,011 Armed forces
0110 Armed forces,2021,,,,,,,,,,,,,,,,,,,,,,,0 Armed forces,01 Armed forces,011 Armed forces
0110 Armed forces,2022,,,,,,,,,,,,,,,,,,,,,,,0 Armed forces,01 Armed forces,011 Armed forces
0110 Armed forces,2023,,,,,,,,,,,,,,,,,,,,,,,0 Armed forces,01 Armed forces,011 Armed forces
1110 Legislators and senior government officials,2010,0.24246101081371307,0.07682633399963379,,0.023576557636260986,,,,,,0.0038094250485301018,,52.40999984741211,39.060001373291016,,46.45000076293945,,,,,,62.06999969482422,,"1 Legislators, senior officials and managers",11 Legislators and senior officials,111 Legislators and senior government officials
1110 Legislators and senior government officials,2011,0.4060955047607422,0.1528853476047516,,0.028071247041225433,,,,,,0.0076188500970602036,,52.97999954223633,39.060001373291016,,46.45000076293945,,,,,,62.06999969482422,,"1 Legislators, senior officials and managers",11 Legislators and senior officials,111 Legislators and senior government officials
1110 Legislators and senior government officials,2012,0.6122449040412903,0.1652604341506958,,0.07217232882976532,,,,0.0005159919965080917,,0.019750971347093582,0.0005159919965080917,53.54999923706055,39.060001373291016,,46.45000076293945,,,,67.47000122070312,,62.06999969482422,67.47000122070312,"1 Legislators, senior officials and managers",11 Legislators and senior officials,111 Legislators and senior government officials
1110 Legislators and senior government officials,2013,2.70951509475708,0.17763550579547882,1.046422004699707,0.10234609991312027,,,,0.0014421187806874514,,0.03188309445977211,0.0014421187806874514,3.549999952316284,39.060001373291016,3.2699999809265137,46.45000076293945,,,,67.47000122070312,,62.06999969482422,67.47000122070312,"1 Legislators, senior officials and managers",11 Legislators and senior officials,111 Legislators and senior government officials
1110 Legislators and senior government officials,2014,4.48583984375,0.19001057744026184,1.6692214012145996,0.13381986320018768,,,0.003182741114869714,0.012498700059950352,,0.04067609831690788,0.012498700059950352,3.8399999141693115,39.060001373291016,3.2699999809265137,46.45000076293945,,,69.73999786376953,67.47000122070312,,62.06999969482422,67.47000122070312,"1 Legislators, senior officials and managers",11 Legislators and senior officials,111 Legislators and senior government officials
1110 Legislators and senior government officials,2015,8.017699241638184,0.2034948468208313,2.292020797729492,0.16925302147865295,,0.0266419630497694,0.005348252132534981,0.022632474079728127,0.0031492216512560844,0.21697182953357697,0.08212589472532272,7.239999771118164,39.060001373291016,3.2699999809265137,46.45000076293945,,68.31999969482422,69.73999786376953,67.47000122070312,66.05000305175781,62.06999969482422,70.5999984741211,"1 Legislators, senior officials and managers",11 Legislators and senior officials,111 Legislators and senior government officials
1110 Legislators and senior government officials,2016,12.93185043334961,0.2526378631591797,2.4689111709594727,0.17298437654972076,0.046119123697280884,0.3450623154640198,0.1400517374277115,0.03761938586831093,0.00892302393913269,0.2457321286201477,0.5536486506462097,26.850000381469727,39.060001373291016,3.2699999809265137,46.45000076293945,59.79999923706055,68.31999969482422,69.73999786376953,67.47000122070312,66.05000305175781,62.06999969482422,68.61000061035156,"1 Legislators, senior officials and managers",11 Legislators and senior officials,111 Legislators and senior government officials
1110 Legislators and senior government officials,2017,13.45542049407959,0.2543182075023651,2.4848783016204834,0.1926310658454895,0.0636301338672638,0.34511125087738037,0.14387905597686768,0.040268320590257645,0.012885349802672863,0.2558627426624298,0.5570663213729858,29.399999618530273,39.060001373291016,3.2699999809265137,46.45000076293945,59.79999923706055,68.31999969482422,69.73999786376953,67.47000122070312,66.05000305175781,62.06999969482422,68.61000061035156,"1 Legislators, senior officials and managers",11 Legislators and senior officials,111 Legislators and senior government officials
1110 Legislators and senior government officials,2018,15.789456367492676,0.254459023475647,2.8467893600463867,0.20404309034347534,0.06366284936666489,0.40807127952575684,0.15123581886291504,0.09560038894414902,0.017840323969721794,0.28146451711654663,0.7933651804924011,31.110000610351562,39.060001373291016,3.2699999809265137,46.45000076293945,59.79999923706055,68.31999969482422,69.73999786376953,67.47000122070312,66.05000305175781,62.06999969482422,69.73999786376953,"1 Legislators, senior officials and managers",11 Legislators and senior officials,111 Legislators and senior government officials
